scenario_id,tier,cell,validation,governance,latency_ms,tokens,correct,confidence,rubric_composite,n_detected,n_injected,validator_iterations,audit_intact,measured_latency_ms,measured_governance_ms,measured_worker_ms,measured_validator_ms,measured_policy_ms,measured_audit_ms,measured_redaction_ms,measured_queue_ms,n_true_positive,n_false_positive,n_claims,governed_events,anchored_workers,peer_bias_exposure,entities_redacted
M-023,medium,Baseline,0,0,498.463,978,1,0.5,0.6625,0,2,0,1,1.071754,0.0,1.071754,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-024,medium,Baseline,0,0,583.119,1090,1,0.5,0.6438,0,2,0,1,21.856585,0.0,21.856585,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-025,medium,Baseline,0,0,567.324,1153,0,0.5,0.175,0,2,0,1,1.312064,0.0,1.312064,0.0,0.0,0.0,0.0,0.0,0,0,8,0,1,14,0
M-026,medium,Baseline,0,0,577.417,1002,0,0.5,0.1938,0,2,0,1,0.845814,0.0,0.845814,0.0,0.0,0.0,0.0,0.0,0,0,8,0,1,14,0
M-027,medium,Baseline,0,0,534.073,990,0,0.5,0.175,0,2,0,1,0.718645,0.0,0.718645,0.0,0.0,0.0,0.0,0.0,0,0,8,0,2,14,0
M-028,medium,Baseline,0,0,494.068,1134,0,0.5,0.175,0,2,0,1,1.282499,0.0,1.282499,0.0,0.0,0.0,0.0,0.0,0,0,8,0,1,14,0
M-029,medium,Baseline,0,0,521.964,1083,0,0.5,0.2125,0,2,0,1,1.333717,0.0,1.333717,0.0,0.0,0.0,0.0,0.0,0,0,8,0,1,14,0
M-030,medium,Baseline,0,0,636.439,1010,1,0.5,0.625,0,2,0,1,0.817092,0.0,0.817092,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-031,medium,Baseline,0,0,493.76,991,1,0.5,0.5875,0,2,0,1,0.688621,0.0,0.688621,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-032,medium,Baseline,0,0,660.442,1134,1,0.5,0.6438,0,2,0,1,0.707419,0.0,0.707419,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-033,medium,Baseline,0,0,450.014,957,1,0.5,0.625,0,2,0,1,0.691464,0.0,0.691464,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-034,medium,Baseline,0,0,475.231,921,0,0.5,0.1375,0,2,0,1,0.843773,0.0,0.843773,0.0,0.0,0.0,0.0,0.0,0,0,8,0,1,14,0
M-035,medium,Baseline,0,0,612.598,1118,0,0.5,0.2125,0,2,0,1,0.993967,0.0,0.993967,0.0,0.0,0.0,0.0,0.0,0,0,8,0,1,14,0
M-036,medium,Baseline,0,0,573.25,1030,1,0.5,0.625,0,2,0,1,1.506455,0.0,1.506455,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
